protocolo,instituto,campo,n,contratante,registro_dt,confianca,base
BR096572026,GRUPO GERP GERP MERCADO GERP OPINIAO GERPAUDIT,2026-06-15..2026-06-19,2000,GERP MERCADOLOGIA LTDA,2026-06-18,medium,nacional-marker
BR061502026,JOTA JORNALISMO,2026-06-01..2026-06-21,6000,JOTA JORNALISMO S/A,2026-06-18,high,plano:universo=brasil
BR050972026,AGILI PESQUISAS,2026-06-17..2026-06-25,1100,AGILI PESQUISAS E MARKETING EIRELI,2026-06-18,high,plano:universo=brasil
BR057222026,PODERDATA,2026-06-21..2026-06-24,2400,"PODERDATA PESQUISA, JORNALISMO E COMUNICACAO LTDA",2026-06-19,high,muni:abrangencia=nacional
BR066302026,#NULO#,2026-06-23..2026-06-25,2100,INSTITUTO VOX BRASIL OPINIAO E PESQUISAS LTDA,2026-06-20,high,plano:universo=brasil
BR085212026,NEXUS,2026-06-26..2026-06-28,2000,NEXUS PESQUISA E INTELIGENCIA DE DADOS LTDA,2026-06-23,medium,nacional-marker
BR045822026,ATLASINTEL,2026-06-25..2026-06-30,5000,ATLASINTEL TECNOLOGIA DE DADOS LTDA,2026-06-25,high,plano:universo=brasil
BR056282026,"BOAS IDEIAS, ESTRATEGIA E INTELIGENCIA DIGITAL.",2026-07-03..2026-07-06,1500,BOAS IDEIAS INTELIGENCIA EM PESQUISA E ESTRATEGIA DIGITAL LTDA,2026-07-02,high,muni:abrangencia=nacional
BR030672026,GRUPO GERP GERP MERCADO GERP OPINIAO GERPAUDIT,2026-07-03..2026-07-07,2000,GERP MERCADOLOGIA LTDA,2026-07-02,medium,nacional-marker
BR079812026,NEXUS,2026-07-10..2026-07-12,2000,NEXUS PESQUISA E INTELIGENCIA DE DADOS LTDA,2026-07-07,medium,nacional-marker
BR072942026,100 CIDADES,2026-07-07..2026-07-11,2000,100% CIDADES PARTICIPACOES LTDA,2026-07-08,high,muni:abrangencia=nacional
BR071812026,#NULO#,2026-07-10..2026-07-13,2004,"QUAEST PESQUISAS, CONSULTORIA E PROJETOS LTDA.",2026-07-09,high,muni:abrangencia=nacional
BR000592026,PODERDATA,2026-07-12..2026-07-15,2400,"PODERDATA PESQUISA, JORNALISMO E COMUNICACAO LTDA",2026-07-10,high,muni:abrangencia=nacional
BR000642026,INSTITUTO MAIS,2026-07-15..2026-07-20,1200,INSTITUTO MAIS,2026-07-15,high,plano:universo=brasil
BR092472026,REAL TIME BIG DATA,2026-07-18..2026-07-20,2000,REAL TIME MIDIA LTDA,2026-07-15,high,meto:realizada=nacional
BR029042026,INDEXA PESQUISAS,2026-07-16..2026-07-19,2000,INSTITUTO INDEXA PESQUISAS LTDA,2026-07-15,high,muni:universo=brasil
BR050262026,GRUPO GERP GERP MERCADO GERP OPINIAO GERPAUDIT,2026-07-15..2026-07-20,2000,GERP MERCADOLOGIA LTDA,2026-07-16,medium,nacional-marker
BR011662026,#NULO#,2026-07-22..2026-07-24,2004,DATAFOLHA INSTITUTO DE PESQUISAS LTDA.,2026-07-18,high,muni:abrangencia=nacional
BR098232026,JOTA JORNALISMO,2026-06-24..2026-07-19,6000,JOTA JORNALISMO S/A,2026-07-20,high,plano:universo=brasil
BR078782026,INSTITUTO MAIS,2026-07-21..2026-07-26,1200,INSTITUTO MAIS,2026-07-21,high,plano:universo=brasil
BR014892026,NEXUS,2026-07-24..2026-07-26,2000,NEXUS PESQUISA E INTELIGENCIA DE DADOS LTDA,2026-07-21,medium,nacional-marker
BR086022026,ATLASINTEL,2026-07-22..2026-07-27,5000,ATLASINTEL TECNOLOGIA DE DADOS LTDA,2026-07-22,high,plano:universo=brasil
BR078452026,PODERDATA,2026-07-26..2026-07-29,2400,"PODERDATA PESQUISA, JORNALISMO E COMUNICACAO LTDA",2026-07-24,high,muni:abrangencia=nacional
BR010842026,#NULO#,2026-07-26..2026-07-28,2100,INSTITUTO VOX BRASIL OPINIAO E PESQUISAS LTDA,2026-07-25,high,plano:universo=brasil
